post_id,platform,platform_post_id,post_url,created_at,day_of_week,post_hour,post_type,media_type,caption,hashtags,num_hashtags,mentions_count,has_call_to_action,call_to_action_type,content_topic,sentiment_tone,caption_length,features_resident_story,campaign_name,is_boosted,boost_budget_php,impressions,reach,likes,comments,shares,saves,click_throughs,video_views,engagement_rate,profile_visits,donation_referrals,estimated_donation_value_php,follower_count_at_post,watch_time_seconds,avg_view_duration_seconds,subscriber_count_at_post,forwards
318,WhatsApp,wa_4293211912553134,https://whatsapp.com/channel/lighthouse_ph/4293211912553134,2023-01-05 18:52:00,Thursday,18,FundraisingAppeal,Text,"This is hard to ask, but our reserve is gone. We're raising P30,000 to make sure our girls don't go without. https://lighthouse.ph/donate?utm_source=whatsapp",,0,3,True,LearnMore,Education,Grateful,157,False,,False,,1580,1093,118,36,22,9,48,,0.1105,21,10,21473.25,1522,,,,50.0
529,Instagram,ig_5129900136072862,https://instagram.com/p/sYhZp-0AvhH,2023-01-06 11:30:00,Friday,11,EducationalContent,Photo,"What does freedom mean to a trafficking survivor? We asked Lucia, and her answer will stay with you. https://lighthouse.ph/donate?utm_source=instagram","#SurvivorStrong, #BeTheChange, #HumanTrafficking, #ChildRights",4,0,False,,Education,Celebratory,150,False,,False,,6362,4395,548,110,149,59,85,,0.1745,335,2,4708.45,1833,,,,
86,LinkedIn,li_2326736034499294,https://linkedin.com/feed/update/urn:li:activity:8868898240939584237,2023-01-08 10:14:00,Sunday,10,EventPromotion,Text,SAVE THE DATE! Join us on January 21 for Fundraiser Gala. All proceeds support our girls. https://lighthouse.ph/donate?utm_source=linkedin,,0,0,False,,Reintegration,Urgent,138,False,,False,,554,336,27,7,12,4,3,,0.1411,8,0,0.0,457,,,,
380,Instagram,ig_4154485528046983,https://instagram.com/p/1LSXA225Jpv,2023-01-09 15:06:00,Monday,15,ThankYou,Video,"Every donation is a prayer answered. Thank you for being the answer for our girls. #ProtectChildren, #BeTheChange","#ProtectChildren, #BeTheChange",2,1,False,,Education,Emotional,113,False,,False,,4309,2948,190,55,45,16,35,3313.0,0.0677,62,0,0.0,1796,,,,
425,TikTok,tk_7166643297225195,https://tiktok.com/@lighthouse_ph/video/8171530469141229839,2023-01-09 15:59:00,Monday,15,ThankYou,Reel,"Big thanks to Juan for the recent donation. You're making magic happen. #SurvivorStrong, #EndViolence, #HumanTrafficking, #ForYou","#SurvivorStrong, #EndViolence, #HumanTrafficking, #ForYou",4,1,True,LearnMore,Education,Hopeful,129,False,,True,4030.64,23175,14008,728,232,141,79,474,17974.0,0.0802,172,2,8351.49,916,,,,
807,Instagram,ig_8963135424055158,https://instagram.com/p/EpLXrJG8HzQ,2023-01-12 13:41:00,Thursday,13,EventPromotion,Carousel,You're invited! Volunteer Day is happening January 26. We'd love to see you there. https://lighthouse.ph/donate?utm_source=instagram,"#SpreadTheWord, #ChildAbuse, #ChildRights",3,0,False,,CampaignLaunch,Emotional,132,False,,False,,5998,4215,555,180,109,90,60,,0.1504,270,1,3516.65,1833,,,,
757,Facebook,fb_1326638815902524,https://facebook.com/lighthouse.ph/posts/1326638815902524,2023-01-17 13:25:00,Tuesday,13,FundraisingAppeal,Video,URGENT: Our food budget is running low. 9 hungry girls are counting on us. Can you help? https://lighthouse.ph/donate?utm_source=facebook,#SafeHaven,1,0,True,DonateNow,Health,Celebratory,137,False,,False,,3513,2099,176,82,38,19,107,2877.0,0.127,51,6,27029.1,2489,,,,
554,Twitter,tw_6417365342012870,https://twitter.com/lighthouse_ph/status/3626013712550021531,2023-01-17 18:22:00,Tuesday,18,FundraisingAppeal,Photo,URGENT: Our food budget is running low. 15 hungry girls are counting on us. Can you help? https://lighthouse.ph/donate?utm_source=twitter,"#GiveHope, #ChildAbuse, #EndViolence",3,0,True,DonateNow,CampaignLaunch,Urgent,137,False,,False,,3192,1854,325,118,82,32,92,,0.1851,120,14,55256.28,1228,,,,
736,YouTube,yt_2556432223328375,https://youtube.com/watch?v=iOTGiq7fPy7,2023-01-19 16:38:00,Thursday,16,EventPromotion,Video,Something big is coming January 27. We can't wait to celebrate with you at Benefit Concert. https://lighthouse.ph/donate?utm_source=youtube,"#BreakTheCycle, #OSAEC, #ChildAbuse, #ForYou",4,0,True,SignUp,Education,Urgent,139,False,,False,,11815,8501,1075,585,298,158,422,13218.0,0.2064,723,2,6056.45,620,436194.0,33.0,204.0,
148,YouTube,yt_8302455599760686,https://youtube.com/watch?v=tqfyyrhtpVI,2023-01-19 18:36:00,Thursday,18,EducationalContent,Video,"Myth: Only girls are trafficked. TRUTH: Boys and men are also victims, though girls are disproportionately affected. This is why survivors need trauma-informed care. ",,0,0,False,,Gratitude,Informative,166,False,,False,,11440,6360,388,137,92,53,114,5162.0,0.0863,125,1,4623.84,572,320044.0,62.0,204.0,
