donation_id,supporter_id,donation_type,donation_date,is_recurring,campaign_name,channel_source,currency_code,amount,estimated_value,impact_unit,notes,referral_post_id
1,42,Monetary,2025-12-31,False,,Campaign,PHP,717.18,717.18,pesos,In support of safehouse operations,
2,25,Time,2025-12-02,True,Year-End Hope,Event,,,35.15,hours,Community outreach support,
3,19,Monetary,2024-12-02,False,,PartnerReferral,PHP,1074.65,1074.65,pesos,Campaign support,
4,33,Monetary,2023-09-11,False,,PartnerReferral,PHP,1230.56,1230.56,pesos,In support of safehouse operations,
5,24,InKind,2023-11-08,True,GivingTuesday,SocialMedia,,,1177.41,items,In support of safehouse operations,421
6,25,Monetary,2025-09-18,True,,Direct,PHP,678.86,678.86,pesos,Campaign support,
7,25,Time,2024-12-14,True,Year-End Hope,Event,,,37.53,hours,Campaign support,
8,23,Monetary,2024-11-21,False,GivingTuesday,Direct,PHP,600.64,600.64,pesos,Campaign support,
9,54,InKind,2023-09-25,True,,Campaign,,,911.84,items,Monthly contribution,
10,36,Monetary,2023-04-16,False,Summer of Safety,Event,PHP,1677.73,1677.73,pesos,In support of safehouse operations,
11,13,Time,2023-02-10,False,,Event,,,11.39,hours,In support of safehouse operations,
12,26,Monetary,2024-11-20,True,GivingTuesday,Direct,PHP,1773.19,1773.19,pesos,Event donation,
13,25,InKind,2025-08-30,True,,Direct,,,433.32,items,Campaign support,
14,47,Monetary,2025-10-07,False,,PartnerReferral,PHP,1541.75,1541.75,pesos,In support of safehouse operations,
15,1,InKind,2023-07-02,True,,Event,,,300.0,items,Campaign support,
16,45,Monetary,2024-10-25,True,,Campaign,PHP,4026.84,4026.84,pesos,Monthly contribution,
17,26,SocialMedia,2023-08-11,True,,Event,,,4.3,campaigns,Community outreach support,
18,51,Time,2026-01-06,False,,Direct,,,17.79,hours,Monthly contribution,
19,4,Monetary,2026-03-01,True,,Event,PHP,342.96,342.96,pesos,Community outreach support,
20,45,Monetary,2023-08-31,True,,Campaign,PHP,962.42,962.42,pesos,Event donation,
21,41,Monetary,2024-01-13,False,,Event,PHP,1345.15,1345.15,pesos,Monthly contribution,
22,22,Monetary,2025-11-13,False,,Campaign,PHP,1109.83,1109.83,pesos,Recurring gift,
23,37,Time,2024-02-06,False,,Direct,,,21.44,hours,Campaign support,
24,54,SocialMedia,2023-04-27,True,Summer of Safety,PartnerReferral,,,3.05,campaigns,In support of safehouse operations,
